"","state","Date"
"36925","IL",2006-05-20
"36926","MS",2006-05-20
"36927","TX",2006-05-20
"36928","MN",2006-05-20
"36929","NC",2006-05-20
"36914","MN",2006-05-21
"36915","VA",2006-05-21
"36916","DE",2006-05-21
"36917","NV",2006-05-21
"36918","AZ",2006-05-21
"36919","AZ",2006-05-21
"36908","DE",2006-05-22
"36909","IL",2006-05-22
"36910","IA",2006-05-22
"36911","IL",2006-05-22
"36912","MA",2006-05-22
"36913","MA",2006-05-22
"37727","OH",2006-05-23
"37728","TX",2006-05-23
"37729","CA",2006-05-23
"37730","AL",2006-05-23
"37731","CA",2006-05-23
"37732","WV",2006-05-23
"37733","NC",2006-05-23
"37723","KY",2006-05-25
"37724","MO",2006-05-25
"37725","VA",2006-05-25
"37726","SC",2006-05-25
"37722","MO",2006-05-26
"35607","AR",2006-05-27
"35633","MA",2006-05-27
"35634","VA",2006-05-27
"36907","AZ",2006-05-27
"37721","IL",2006-05-27
"35604","CA",2006-05-28
"35605","PA",2006-05-28
"35606","OH",2006-05-28
"35632","PA",2006-05-28
"35601","FL",2006-05-29
"35602","CA",2006-05-29
"35603","IL",2006-05-29
"35600","TN",2006-05-30
"35598","CA",2006-05-31
"35599","WA",2006-05-31
"35828","KS",2006-06-01
"35829","ID",2006-06-01
"35830","OK",2006-06-01
"35831","TX",2006-06-01
"35832","ID",2006-06-01
"35833","NY",2006-06-01
"35834","MI",2006-06-01
"35835","PA",2006-06-01
"35836","TX",2006-06-01
"35837","NC",2006-06-01
"35838","KS",2006-06-01
"35826","TX",2006-06-02
"35827","NM",2006-06-02
"35825","CA",2006-06-03
"35821","IL",2006-06-04
"35822","IL",2006-06-04
"35823","CA",2006-06-04
"35824","KY",2006-06-04
"35814","CA",2006-06-05
"35815","FL",2006-06-05
"35816","MT",2006-06-05
"35817","WA",2006-06-05
"35818","WA",2006-06-05
"35819","CA",2006-06-05
"35820","CA",2006-06-05
"330","FL",2006-06-06
"35801","FL",2006-06-06
"35802","MT",2006-06-06
"35803","MI",2006-06-06
"35804","OR",2006-06-06
"35805","WI",2006-06-06
"35806","AZ",2006-06-06
"35807","NJ",2006-06-06
"35808","TX",2006-06-06
"35809","NJ",2006-06-06
"35810","ID",2006-06-06
"35811","WY",2006-06-06
"35812","CA",2006-06-06
"35813","VA",2006-06-06
"40925","FL",2006-06-06
"329","MO",2006-06-07
"35795","TX",2006-06-07
"35796","IL",2006-06-07
"35797","WA",2006-06-07
"35798","IL",2006-06-07
"35799","NJ",2006-06-07
"35800","IL",2006-06-07
"35794","TX",2006-06-08
"35792","NC",2006-06-09
"35793","TX",2006-06-09
"35786","OH",2006-06-10
"35787","WA",2006-06-10
"35788","OR",2006-06-10
"35789","IL",2006-06-10
"35790","TN",2006-06-10
"35791","WA",2006-06-10
"35785","TX",2006-06-11
"35778","LA",2006-06-12
"35779","FL",2006-06-12
"35780","CO",2006-06-12
"35781","FL",2006-06-12
"35782","GA",2006-06-12
"35783","WA",2006-06-12
"35784","TN",2006-06-12
"35774","CA",2006-06-13
"35775","TN",2006-06-13
"35776","FL",2006-06-13
"35777","CA",2006-06-13
"35768","IA",2006-06-14
"35769","CA",2006-06-14
"35770","OH",2006-06-14
"35771","FL",2006-06-14
"35772","MO",2006-06-14
"35773","CA",2006-06-14
"35759","ID",2006-06-15
"35760","FL",2006-06-15
"35761","NJ",2006-06-15
"35762","MO",2006-06-15
"35763","NC",2006-06-15
"35764","NC",2006-06-15
"35765","NV",2006-06-15
"35766","TX",2006-06-15
"35767","NH",2006-06-15
"35755","WA",2006-06-16
"35756","TX",2006-06-16
"35757","RI",2006-06-16
"35758","TX",2006-06-16
"35750","PA",2006-06-17
"35751","FL",2006-06-17
"35752","WA",2006-06-17
"35753","OR",2006-06-17
"35754","TX",2006-06-17
"40860","NM",2006-06-17
"35742","MA",2006-06-18
"35743","MN",2006-06-18
"35744","CO",2006-06-18
"35745","GA",2006-06-18
"35746","CA",2006-06-18
"35747","AZ",2006-06-18
"35748","FL",2006-06-18
"35749","MI",2006-06-18
"35737","AZ",2006-06-19
"35738","IL",2006-06-19
"35739","CA",2006-06-19
"35740","FL",2006-06-19
"35741","OH",2006-06-19
"35730","SC",2006-06-20
"35731","IN",2006-06-20
"35732","DE",2006-06-20
"35733","AZ",2006-06-20
"35734","MD",2006-06-20
"35735","NJ",2006-06-20
"35736","OH",2006-06-20
"35729","CA",2006-06-21
"35726","IL",2006-06-22
"35727","MD",2006-06-22
"35728","OH",2006-06-22
"35719","GA",2006-06-23
"35720","FL",2006-06-23
"35721","KS",2006-06-23
"35722","NH",2006-06-23
"35723","CO",2006-06-23
"35724","TN",2006-06-23
"35725","ID",2006-06-23
"35717","TX",2006-06-24
"35718","WA",2006-06-24
"35713","FL",2006-06-25
"35714","MA",2006-06-25
"35715","VA",2006-06-25
"35716","WI",2006-06-25
"35709","AZ",2006-06-26
"35710","MA",2006-06-26
"35711","MO",2006-06-26
"35712","VA",2006-06-26
"35704","OK",2006-06-27
"35705","CA",2006-06-27
"35706","CA",2006-06-27
"35707","OR",2006-06-27
"35708","WA",2006-06-27
"35701","MN",2006-06-28
"35702","WY",2006-06-28
"35703","TX",2006-06-28
"35698","MI",2006-06-29
"35699","WA",2006-06-29
"35700","WA",2006-06-29
"35687","FL",2006-06-30
"35688","MO",2006-06-30
"35689","FL",2006-06-30
"35690","FL",2006-06-30
"35691","CA",2006-06-30
"35692","OK",2006-06-30
"35693","CA",2006-06-30
"35694","TN",2006-06-30
"35695","MA",2006-06-30
"35696","TX",2006-06-30
"35697","MI",2006-06-30
"35997","MA",2006-07-01
"35998","MN",2006-07-01
"35999","CA",2006-07-01
"36000","OR",2006-07-01
"36001","MI",2006-07-01
"36967","CA",2006-07-01
"36968","OR",2006-07-01
"37744","NJ",2006-07-01
"36963","CA",2006-07-02
"36964","OH",2006-07-02
"36965","VA",2006-07-02
"36966","HI",2006-07-02
"36962","OK",2006-07-03
"35992","FL",2006-07-04
"35993","NE",2006-07-04
"35994","IL",2006-07-04
"35995","PA",2006-07-04
"35996","WI",2006-07-04
"36958","CA",2006-07-04
"36959","CA",2006-07-04
"36960","FL",2006-07-04
"36961","IL",2006-07-04
"40928","PA",2006-07-04
"334","AZ",2006-07-05
"35989","AL",2006-07-05
"35990","CA",2006-07-05
"35991","WI",2006-07-05
"35987","CA",2006-07-06
"35988","CA",2006-07-06
"35983","TX",2006-07-07
"35984","KS",2006-07-07
"35985","NC",2006-07-07
"35986","AZ",2006-07-07
"35976","AZ",2006-07-08
"35977","WA",2006-07-08
"35978","OH",2006-07-08
"35979","TX",2006-07-08
"35980","GA",2006-07-08
"35981","TX",2006-07-08
"35982","WA",2006-07-08
"35974","CA",2006-07-09
"35975","NV",2006-07-09
"35970","NC",2006-07-10
"35971","AZ",2006-07-10
"35972","OR",2006-07-10
"35973","CA",2006-07-10
"35966","AZ",2006-07-11
"35967","NJ",2006-07-11
"35968","WI",2006-07-11
"35969","WA",2006-07-11
"35960","WI",2006-07-12
"35961","WA",2006-07-12
"35962","CO",2006-07-12
"35963","FL",2006-07-12
"35964","NC",2006-07-12
"35965","AZ",2006-07-12
"40927","NM",2006-07-12
"35954","SC",2006-07-13
"35955","GA",2006-07-13
"35956","CA",2006-07-13
"35957","CO",2006-07-13
"35958","MI",2006-07-13
"35959","WA",2006-07-13
"333","CA",2006-07-14
"35948","IA",2006-07-14
"35949","CA",2006-07-14
"35950","NJ",2006-07-14
"35951","NY",2006-07-14
"35952","IL",2006-07-14
"35953","MI",2006-07-14
"35927","NJ",2006-07-15
"35928","MI",2006-07-15
"35929","WI",2006-07-15
"35930","ID",2006-07-15
"35931","WV",2006-07-15
"35932","IL",2006-07-15
"35933","IL",2006-07-15
"35934","ID",2006-07-15
"35935","NJ",2006-07-15
"35936","CA",2006-07-15
"35937","NM",2006-07-15
"35938","NE",2006-07-15
"35939","IL",2006-07-15
"35940","CA",2006-07-15
"35941","IA",2006-07-15
"35942","IL",2006-07-15
"35943","OH",2006-07-15
"35944","MA",2006-07-15
"35945","MA",2006-07-15
"35946","CA",2006-07-15
"35947","PA",2006-07-15
"332","IL",2006-07-16
"35921","KS",2006-07-16
"35922","CA",2006-07-16
"35923","RI",2006-07-16
"35924","IL",2006-07-16
"35925","NY",2006-07-16
"35926","CA",2006-07-16
"35913","IL",2006-07-17
"35914","TX",2006-07-17
"35915","RI",2006-07-17
"35916","CA",2006-07-17
"35917","NV",2006-07-17
"35918","MD",2006-07-17
"35919","WA",2006-07-17
"35920","NY",2006-07-17
"35908","FL",2006-07-18
"35909","WI",2006-07-18
"35910","MI",2006-07-18
"35911","CT",2006-07-18
"35912","NJ",2006-07-18
"40926","ID",2006-07-18
"35903","NY",2006-07-19
"35904","CA",2006-07-19
"35905","AZ",2006-07-19
"35906","AZ",2006-07-19
"35907","CA",2006-07-19
"35896","WA",2006-07-20
"35897","WA",2006-07-20
"35898","CA",2006-07-20
"35899","ID",2006-07-20
"35900","WA",2006-07-20
"35901","OR",2006-07-20
"35902","NM",2006-07-20
"35890","PA",2006-07-21
"35891","CA",2006-07-21
"35892","NE",2006-07-21
"35893","OR",2006-07-21
"35894","AZ",2006-07-21
"35895","WA",2006-07-21
"35884","VA",2006-07-22
"35885","CA",2006-07-22
"35886","MO",2006-07-22
"35887","AZ",2006-07-22
"35888","IA",2006-07-22
"35889","FL",2006-07-22
"35881","WI",2006-07-23
"35882","CA",2006-07-23
"35883","NY",2006-07-23
"35880","AR",2006-07-24
"35873","MO",2006-07-25
"35874","CA",2006-07-25
"35875","FL",2006-07-25
"35876","WA",2006-07-25
"35877","FL",2006-07-25
"35878","IA",2006-07-25
"35879","OR",2006-07-25
"35867","WA",2006-07-26
"35868","MA",2006-07-26
"35869","SC",2006-07-26
"35870","GA",2006-07-26
"35871","CA",2006-07-26
"35872","MI",2006-07-26
"35864","NC",2006-07-27
"35865","KY",2006-07-27
"35866","GA",2006-07-27
"35859","TN",2006-07-28
"35860","AZ",2006-07-28
"35861","NJ",2006-07-28
"35862","NY",2006-07-28
"35863","CO",2006-07-28
